# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/nextflow/RNA_seq_analysis_pc_version/raw_data/S288C_reference_genome_R64-5-1_20240529/yeast.gtf" "-o" "FeatureCounts.txt" "results_star/SRR18396493Aligned.sortedByCoord.out.bam" "results_star/SRR18396494Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results_star/SRR18396493Aligned.sortedByCoord.out.bam	results_star/SRR18396494Aligned.sortedByCoord.out.bam
YDR533C	chrIV	1501447	1502160	-	714	6896	4135
YDR272W	chrIV	1009010	1009834	+	825	8741	5504
YDR197W	chrIV	851228	852397	+	1170	1227	865
YDR512C	chrIV	1470500	1471063	-	564	4482	3275
YDR489W	chrIV	1431012	1431896	+	885	196	129
YDR299W	chrIV	1059627	1061231	+	1605	701	548
YDL015C	chrIV	426002	426934	-	933	1796	1136
YDR304C	chrIV	1071880	1072557	-	678	2455	1542
YDR271C	chrIV	1008395	1008766	-	372	1	1
YDL181W	chrIV	135179	135436	+	258	2248	1504
YDR367W	chrIV;chrIV	1212848;1212979	1212877;1213614	+;+	666	2370	1445
YDR085C	chrIV	614288	616150	-	1863	4489	3103
YDL097C	chrIV	285391	286695	-	1305	3601	2680
YDL139C	chrIV	211375	212046	-	672	1213	1037
YDR200C	chrIV	854279	856093	-	1815	1432	1095
YDR191W	chrIV	842337	843449	+	1113	389	443
YDR451C	chrIV	1361120	1362181	-	1062	112	46
YDR469W	chrIV	1399015	1399542	+	528	836	846
YDR470C	chrIV	1399706	1401214	-	1509	1136	853
YDR105C	chrIV	665349	666770	-	1422	2737	1824
YDR483W	chrIV	1421157	1422485	+	1329	7122	5704
YDL123W	chrIV	241418	241840	+	423	2955	1944
YDL199C	chrIV	101290	103353	-	2064	1903	1218
YDR505C	chrIV	1456695	1459220	-	2526	6360	4877
YDL045W-A	chrIV	372248	372535	+	288	522	380
YDL045C	chrIV	372688	373608	-	921	1153	837
YDR361C	chrIV	1195412	1196263	-	852	1290	681
YDR406W-A	chrIV	1283799	1284044	+	246	11	4
YDR199W	chrIV	854175	854540	+	366	4	4
YDR266C	chrIV	1000104	1002023	-	1920	1408	977
YDL242W	chrIV	18959	19312	+	354	77	64
YDR002W	chrIV	453045	453650	+	606	1675	994
YDR214W	chrIV	892875	893927	+	1053	8005	5561
YDR130C	chrIV	715747	716622	-	876	794	666
YDL176W	chrIV	142097	144223	+	2127	1056	703
YDR358W	chrIV	1190059	1191732	+	1674	5550	3608
YDR544C	chrIV	1525095	1525523	-	429	6	0
YDR460W	chrIV	1383811	1384776	+	966	1213	1112
snR84	chrIV	1492477	1493026	-	550	56	40
YDR034W-B	chrIV	521314	521469	+	156	1436	894
YDL028C	chrIV	400997	403291	-	2295	1541	1293
YDR061W	chrIV	574164	575783	+	1620	2802	2487
YDR060W	chrIV	570649	573726	+	3078	2161	1528
YDR169C-A	chrIV	794574	794723	-	150	85	52
YDR363W	chrIV	1199183	1200553	+	1371	1508	1274
YDR422C	chrIV	1315326	1317773	-	2448	2167	1574
YDR119W	chrIV	688227	690533	+	2307	1598	935
tR(ACG)D	chrIV	619969	620041	-	73	3	2
YDR097C	chrIV	640109	643837	-	3729	1256	850
YDR042C	chrIV	540601	541203	-	603	504	300
YDL160C	chrIV	170410	171930	-	1521	1760	1080
YDR425W	chrIV	1320064	1321941	+	1878	2412	2030
snR13	chrIV	1402919	1403042	+	124	13	10
YDR228C	chrIV	921926	923806	-	1881	1468	921
YDR319C	chrIV	1105003	1105827	-	825	930	631
YDR471W	chrIV;chrIV	1401770;1402185	1401800;1402564	+;+	411	1125	525
YDR089W	chrIV	622112	624721	+	2610	1368	1625
tD(GUC)D	chrIV	568964	569035	+	72	1	0
YDR275W	chrIV	1012252	1012959	+	708	1887	1021
YDR043C	chrIV	542674	543369	-	696	3657	1917
YDR129C	chrIV;chrIV	713340;715359	715247;715379	-;-	1929	9628	7237
YDR136C	chrIV	727711	728283	-	573	20	17
YDL066W	chrIV	334835	336121	+	1287	2420	1806
YDR302W	chrIV	1067731	1068390	+	660	520	292
YDR239C	chrIV	941057	943420	-	2364	948	740
YDR539W	chrIV	1512094	1513605	+	1512	1240	1100
tK(CUU)D1	chrIV	1201750	1201822	+	73	0	0
YDL125C	chrIV;chrIV	239019;239510	239398;239606	-;-	477	4624	2877
YDR493W	chrIV	1436217	1436588	+	372	215	173
YDR101C	chrIV	655686	657467	-	1782	961	688
YDR182W-A	chrIV	829151	829354	+	204	21	10
YDR212W	chrIV	887232	888911	+	1680	1547	1000
YDR476C	chrIV	1410453	1411127	-	675	1750	1495
YDL131W	chrIV	227393	228715	+	1323	1613	1176
YDR458C	chrIV	1380055	1382046	-	1992	2147	1596
YDR081C	chrIV	607304	610081	-	2778	1773	1288
YDL071C	chrIV	330666	331040	-	375	54	62
YDR113C	chrIV	680496	681617	-	1122	327	307
YDR168W	chrIV	790328	791848	+	1521	7054	5591
YDR520C	chrIV	1481085	1483403	-	2319	749	572
YDR307W	chrIV	1075865	1077853	+	1989	1106	806
YDR265W	chrIV	998864	999877	+	1014	1708	1175
YDL076C	chrIV	320668	321552	-	885	1512	867
YDL006W	chrIV	439909	440754	+	846	769	501
YDL086W	chrIV	301413	302234	+	822	640	472
YDR238C	chrIV	937895	940816	-	2922	3181	2038
YDR077W	chrIV	600793	601809	+	1017	329340	239803
YDR381C-A	chrIV;chrIV	1238312;1238825	1238630;1238850	-;-	345	2425	1422
YDL023C	chrIV	411761	412081	-	321	17	9
YDL083C	chrIV;chrIV	306926;307766	307333;307789	-;-	432	445	229
YDR036C	chrIV	523211	524713	-	1503	2095	1583
YDR057W	chrIV	565927	567555	+	1629	1651	1374
YDR513W	chrIV	1471017	1471448	+	432	2119	1505
YDR487C	chrIV	1428354	1428980	-	627	3842	2132
YDR066C	chrIV	581908	582498	-	591	565	414
YDR352W	chrIV	1181801	1182754	+	954	538	342
YDR278C	chrIV	1017001	1017318	-	318	17	19
YDR079C-A	chrIV	603593	603811	-	219	253	134
YDR204W	chrIV	858137	859144	+	1008	3913	2555
YDL247W-A	chrIV	3762	3836	+	75	0	0
YDL024C	chrIV	408451	409857	-	1407	2528	2302
tA(AGC)D	chrIV	410379	410451	+	73	0	0
YDR109C	chrIV	673520	675667	-	2148	2105	1612
YDR466W	chrIV	1395121	1397817	+	2697	3182	2210
YDR427W	chrIV	1322205	1323386	+	1182	1708	1103
YDL044C	chrIV	373967	375289	-	1323	601	408
YDL079C	chrIV;chrIV	312951;314337	314044;314748	-;-	1506	1476	820
YDR193W	chrIV	844554	844952	+	399	8	1
YDR305C	chrIV;chrIV	1072746;1073402	1073312;1073488	-;-	654	900	461
YDR377W	chrIV	1228611	1228916	+	306	2549	1345
YDR219C	chrIV	905455	906852	-	1398	1078	679
YDR416W	chrIV	1298432	1301011	+	2580	1119	789
YDR365C	chrIV	1204497	1206383	-	1887	1672	1111
YDL233W	chrIV	36797	38173	+	1377	1067	748
YDR287W	chrIV	1035995	1036873	+	879	2287	1612
YDR448W	chrIV	1356065	1357369	+	1305	655	694
YDR180W	chrIV	821295	825776	+	4482	250	181
tF(GAA)D	chrIV;chrIV	1095370;1095425	1095405;1095461	-;-	73	0	0
tT(AGU)D	chrIV	434264	434336	-	73	1	0
YDR294C	chrIV	1050459	1052228	-	1770	2154	1490
YDR198C	chrIV	852533	853972	-	1440	554	526
YDL163W	chrIV	166956	167258	+	303	0	0
YDL119C	chrIV	246689	247612	-	924	458	272
YDR501W	chrIV	1451353	1452918	+	1566	203	149
YDL214C	chrIV	74446	76545	-	2100	5491	3059
YDR264C	chrIV	996029	998323	-	2295	3461	2491
YDR343C	chrIV	1159608	1161320	-	1713	110	100
YDR373W	chrIV	1222759	1223331	+	573	1945	1623
YDR354W	chrIV	1184747	1185889	+	1143	452	264
YDR246W	chrIV	954288	954947	+	660	2786	2883
YDR428C	chrIV	1323454	1324239	-	786	160	128
YDR157W	chrIV	769931	770332	+	402	20	20
YDR316W	chrIV	1093763	1095178	+	1416	978	697
YDL142C	chrIV	201719	202570	-	852	1475	877
YDR253C	chrIV	963990	964565	-	576	650	535
YDL112W	chrIV	258915	263225	+	4311	1193	782
YDR545W	chrIV	1526321	1531711	+	5391	1	0
YDL187C	chrIV	125509	125838	-	330	2	0
YDL138W	chrIV	213351	215642	+	2292	859	754
YDR528W	chrIV	1494586	1495857	+	1272	244	209
YDR284C	chrIV	1030550	1031419	-	870	1199	698
YDR050C	chrIV	555726	556472	-	747	3054	2991
YDL010W	chrIV	432330	433025	+	696	553	573
YDL065C	chrIV	336249	337277	-	1029	2486	2814
YDR349C	chrIV	1172386	1174176	-	1791	1495	1299
YDL098C	chrIV	284581	285165	-	585	682	531
YDL234C	chrIV	34237	36477	-	2241	9384	8123
YDR118W	chrIV	685882	687840	+	1959	598	368
YDR118W-A	chrIV	687768	687884	+	117	5	2
YDR159W	chrIV	771877	775782	+	3906	1688	1407
YDR111C	chrIV	678241	679764	-	1524	2451	1625
YDR128W	chrIV	709549	712995	+	3447	2082	1508
YDL034W	chrIV	391783	392127	+	345	7	5
YDR065W	chrIV	580687	581784	+	1098	848	660
YDL004W	chrIV	443029	443511	+	483	2826	2253
YDR024W	chrIV	491017	491502	+	486	12	5
YDL171C	chrIV	149203	155640	-	6438	5591	3555
YDR083W	chrIV	612073	613251	+	1179	2033	1409
YDR457W	chrIV	1369790	1379596	+	9807	5859	3571
YDR014W	chrIV	474046	475989	+	1944	1093	997
YDR206W	chrIV	862054	864708	+	2655	2938	2168
YDR478W	chrIV	1414575	1415171	+	597	533	630
YDR169C	chrIV	792348	793889	-	1542	3414	2326
YDR115W	chrIV	682175	682492	+	318	93	79
YDL159W-A	chrIV	172182	172313	+	132	22	13
YDL232W	chrIV	38487	38597	+	111	85	58
YDL240C-A	chrIV	22471	22608	-	138	2	0
tE(CUC)D	chrIV	1017207	1017278	-	72	0	0
YDL152W	chrIV	182822	183187	+	366	2	2
YDR432W	chrIV	1328783	1330027	+	1245	5681	5350
YDL022C-A	chrIV	409808	410056	-	249	67	37
YDL114W-A	chrIV	254935	255048	+	114	33	16
YDR410C	chrIV	1292372	1293091	-	720	253	170
YDR464C-A	chrIV	1392492	1392680	-	189	0	0
YDL072C	chrIV	329836	330447	-	612	4056	2554
YDR053W	chrIV	560249	560644	+	396	4	6
YDL012C	chrIV;chrIV	431108;431473	431386;431517	-;-	324	1414	2490
YDR482C	chrIV	1420431	1420838	-	408	1203	982
YDL070W	chrIV	331024	332940	+	1917	5599	4162
YDR064W	chrIV;chrIV	579458;580018	579478;580452	+;+	456	1528	835
YDL135C	chrIV	218680	219288	-	609	873	618
YDL077C	chrIV	316971	320120	-	3150	1158	855
YDR354C-A	chrIV	1185139	1185282	-	144	0	0
YDL033C	chrIV	392659	393912	-	1254	395	282
YDL031W	chrIV	394217	397204	+	2988	2302	1673
YDR398W	chrIV	1267471	1269402	+	1932	1242	973
YDR326C	chrIV	1120609	1124925	-	4317	1537	1591
YDL052C	chrIV	362672	363583	-	912	630	453
YDR536W	chrIV	1508005	1509714	+	1710	49518	21448
YDR397C	chrIV;chrIV	1266366;1266862	1266769;1266898	-;-	441	151	64
YDL116W	chrIV	251566	253746	+	2181	1901	1369
YDR028C	chrIV	497835	500879	-	3045	6385	4677
YDL007W	chrIV	438047	439360	+	1314	8311	5075
YDR236C	chrIV	935236	935892	-	657	1314	1123
YDR011W	chrIV	465919	470424	+	4506	10708	9614
YDR155C	chrIV	768512	769000	-	489	7697	6687
YDR414C	chrIV	1295598	1296686	-	1089	958	662
YDR026C	chrIV	492556	494268	-	1713	1363	841
YDL073W	chrIV	326613	329567	+	2955	993	689
tY(GUA)D	chrIV;chrIV	946312;946365	946350;946400	+;+	75	6	2
YDL115C	chrIV;chrIV	253995;255045	254974;255126	-;-	1062	1932	1308
YDL145C	chrIV	194571	198176	-	3606	3411	2450
YDR203W	chrIV	857682	857999	+	318	4	0
YDL104C	chrIV	273653	274876	-	1224	233	222
YDL149W	chrIV	184925	187918	+	2994	2769	1806
YDR231C	chrIV	926293	926910	-	618	1178	702
YDR045C	chrIV	547978	548310	-	333	185	69
YDL075W	chrIV;chrIV	322226;322704	322282;322988	+;+	342	923	541
YDR415C	chrIV	1297037	1298161	-	1125	775	571
YDR339C	chrIV	1149951	1150520	-	570	1190	873
YDL213C	chrIV	77289	77966	-	678	1282	996
YDR096W	chrIV	637139	639823	+	2685	6031	4312
YDL019C	chrIV	417663	421514	-	3852	5420	3797
YDL022W	chrIV	411825	413000	+	1176	36277	33997
YDR413C	chrIV	1294836	1295411	-	576	1	2
YDR391C	chrIV	1257358	1258056	-	699	2327	1666
YDR091C	chrIV	626708	628534	-	1827	1043	584
YDR240C	chrIV	943674	945152	-	1479	694	494
YDL244W	chrIV	16204	17226	+	1023	108	65
YDR179C	chrIV	818708	819196	-	489	236	246
YDL165W	chrIV	164290	164865	+	576	507	401
YDL140C	chrIV	205360	210561	-	5202	8612	5400
YDR120C	chrIV	691549	693261	-	1713	1271	879
YDR003W	chrIV	454122	454754	+	633	3765	3227
YDR499W	chrIV	1447830	1450073	+	2244	553	504
YDR166C	chrIV	786306	789221	-	2916	2340	1826
YDL092W	chrIV	292781	293221	+	441	912	735
YDL041W	chrIV	378102	378455	+	354	0	2
YDL241W	chrIV	20635	21006	+	372	32	20
YDL082W	chrIV;chrIV	308424;308793	308427;309388	+;+	600	2072	1306
YDR277C	chrIV	1014401	1015702	-	1302	6030	5637
YDR291W	chrIV	1039728	1042961	+	3234	1601	1130
YDR475C	chrIV	1407464	1410094	-	2631	4359	3657
YDR244W	chrIV	950563	952401	+	1839	2564	1871
YDR407C	chrIV	1284069	1287938	-	3870	1068	838
YDR382W	chrIV	1239492	1239824	+	333	1053	643
YDR102C	chrIV	657648	657980	-	333	30	14
YDL188C	chrIV	123865	124998	-	1134	2614	1770
YDR405W	chrIV	1277646	1278437	+	792	1535	1073
YDR443C	chrIV	1345676	1349938	-	4263	1763	1204
YDR059C	chrIV;chrIV	569234;569724	569633;569770	-;-	447	2775	2085
YDR144C	chrIV	744311	746101	-	1791	224	128
YDL157C	chrIV	174232	174588	-	357	283	123
YDL058W	chrIV	345665	351037	+	5373	2277	1436
YDL096C	chrIV	286998	287324	-	327	9	1
YDL155W	chrIV	176773	178056	+	1284	990	710
YDR147W	chrIV	751631	753235	+	1605	925	729
YDL191W	chrIV;chrIV	117664;118158	117666;118517	+;+	363	343	191
YDL128W	chrIV	232652	233887	+	1236	9186	6129
YDR310C	chrIV	1081128	1084316	-	3189	1945	1169
YDL160C-A	chrIV	169366	169608	-	243	351	213
YDR127W	chrIV	704484	709250	+	4767	2774	2186
YDR497C	chrIV	1443713	1445467	-	1755	4862	3667
YDL162C	chrIV	167359	167715	-	357	16	11
tS(AGA)D3	chrIV	1305630	1305712	+	83	0	0
YDR201W	chrIV	856317	856814	+	498	527	551
YDR163W	chrIV	781423	781950	+	528	1945	1758
YDL146W	chrIV	192750	194225	+	1476	345	246
YDR363W-A	chrIV	1202128	1202397	+	270	4658	3366
YDL221W	chrIV	62011	62562	+	552	110	73
YDL089W	chrIV	296820	298274	+	1455	703	524
YDR385W	chrIV	1243230	1245758	+	2529	889	532
YDR331W	chrIV	1129588	1130823	+	1236	459	466
YDR196C	chrIV	850274	850999	-	726	2212	1486
YDR116C	chrIV	682724	683581	-	858	686	463
YDR001C	chrIV	450220	452475	-	2256	13321	9093
YDL230W	chrIV	42700	43707	+	1008	1625	1175
YDR160W	chrIV	776163	778721	+	2559	2275	1567
YDR123C	chrIV	698554	699468	-	915	1632	1280
YDR322W	chrIV	1110589	1111692	+	1104	432	348
YDR040C	chrIV	535192	538467	-	3276	6424	3733
YDR025W	chrIV;chrIV	491515;491899	491559;492324	+;+	471	1217	791
YDR046C	chrIV	548762	550576	-	1815	3564	2285
YDL057W	chrIV	351434	352420	+	987	1483	1002
YDL248W	chrIV	1802	2953	+	1152	98	52
YDR008C	chrIV	462252	462602	-	351	1	1
YDR029W	chrIV	501100	501414	+	315	767	549
YDR485C	chrIV	1424820	1427207	-	2388	3260	2783
YDR408C	chrIV	1288215	1288859	-	645	1261	861
YDR038C	chrIV	527422	530697	-	3276	243	226
YDL204W	chrIV	94605	95786	+	1182	83744	54551
YDR019C	chrIV	484163	485365	-	1203	4192	2051
YDR477W	chrIV	1412373	1414274	+	1902	3784	2865
YDR254W	chrIV	965113	966489	+	1377	1075	707
YDR514C	chrIV	1471548	1472999	-	1452	540	403
YDR296W	chrIV	1055212	1055892	+	681	707	462
YDL216C	chrIV	68997	70319	-	1323	1591	1087
YDL100C	chrIV	282112	283176	-	1065	1171	812
YDL068W	chrIV	333500	333829	+	330	10	11
YDL026W	chrIV	404749	405060	+	312	24	25
YDL124W	chrIV	240259	241197	+	939	28261	23487
YDL227C	chrIV	46271	48031	-	1761	51	29
YDL111C	chrIV	263313	264110	-	798	853	814
YDR324C	chrIV	1114433	1116763	-	2331	932	624
YDL170W	chrIV	156318	157904	+	1587	1020	726
YDR317W	chrIV	1102184	1103428	+	1245	490	278
YDR436W	chrIV	1334821	1336953	+	2133	7791	5384
YDR208W	chrIV	868224	870563	+	2340	3687	2971
YDR386W	chrIV	1246084	1247982	+	1899	424	397
YDR504C	chrIV	1456311	1456694	-	384	327	120
YDL220C	chrIV	62244	65018	-	2775	847	627
YDR396W	chrIV	1266295	1266795	+	501	16	12
YDR258C	chrIV	971808	974243	-	2436	15089	14055
YDR176W	chrIV	814452	816560	+	2109	1965	1658
YDL099W	chrIV	283419	284444	+	1026	2523	2336
YDR380W	chrIV	1234218	1236125	+	1908	521	388
YDL110C	chrIV	264512	264964	-	453	23045	15346
YDR148C	chrIV	753675	755066	-	1392	5626	3514
YDL201W	chrIV	99561	100421	+	861	987	649
YDL107W	chrIV	268921	269976	+	1056	719	655
YDR515W	chrIV	1473429	1474772	+	1344	1135	734
YDR133C	chrIV	720962	721297	-	336	868	506
YDR378C	chrIV	1229349	1229609	-	261	1169	623
YDR473C	chrIV	1404445	1405854	-	1410	3164	3733
YDR403W	chrIV	1274602	1276212	+	1611	1082	904
YDR268W	chrIV	1004004	1005143	+	1140	291	212
YDR409W	chrIV	1289406	1292120	+	2715	1834	1293
YDR173C	chrIV	810565	811632	-	1068	1473	893
YDR187C	chrIV	836228	836746	-	519	36	20
YDR389W	chrIV	1252537	1254501	+	1965	1851	1191
YDR417C	chrIV	1301555	1301926	-	372	10	9
YDR165W	chrIV	784871	786205	+	1335	942	705
YDL113C	chrIV	256633	258555	-	1923	3598	2228
YDR426C	chrIV	1321629	1322006	-	378	0	2
YDR521W	chrIV	1483141	1483476	+	336	9	3
YDR086C	chrIV	616928	617170	-	243	1090	668
YDL021W	chrIV	413953	414888	+	936	2042	1983
YDR023W	chrIV	489508	490896	+	1389	1736	1404
YDR394W	chrIV	1261681	1262967	+	1287	4215	2865
YDR320C-A	chrIV	1108280	1108498	-	219	1252	832
YDR003W-A	chrIV	454782	454904	+	123	370	316
YDR183W	chrIV	829585	830277	+	693	150	123
YDR245W	chrIV	952800	953981	+	1182	1193	1123
YDR431W	chrIV	1328390	1328701	+	312	0	1
YDL154W	chrIV	178334	181039	+	2706	518	479
YDL184C	chrIV	130407	130484	-	78	458	265
YDR153C	chrIV	766736	767971	-	1236	3767	3033
YDR014W-A	chrIV	477797	478285	+	489	16	11
YDR434W	chrIV	1331237	1332841	+	1605	1368	958
YDL002C	chrIV	446967	447578	-	612	1184	624
YDR225W	chrIV	915530	915928	+	399	1095	804
YDR418W	chrIV	1301616	1302113	+	498	81	52
YDR224C	chrIV	914317	914712	-	396	1988	1476
YDR502C	chrIV	1453310	1454464	-	1155	2498	1908
YDR447C	chrIV;chrIV	1354829;1355551	1355236;1355553	-;-	411	454	215
YDL039C	chrIV	381985	384081	-	2097	571	566
YDL225W	chrIV	52445	54100	+	1656	1551	1229
YDR259C	chrIV	974631	975782	-	1152	573	363
YDR495C	chrIV	1438115	1441150	-	3036	907	596
YDL151C	chrIV	183318	183899	-	582	34	20
YDR357C	chrIV	1189199	1189567	-	369	2090	1122
YDR370C	chrIV	1217782	1219110	-	1329	614	401
YDR298C	chrIV	1058176	1058814	-	639	963	587
YDR276C	chrIV	1013476	1013643	-	168	4102	3565
YDL185C-A	chrIV	126608	126835	-	228	167	104
YDR545C-A	chrIV	1530863	1531342	-	480	0	0
tM(CAU)D	chrIV	1175829	1175901	+	73	0	1
YDL247W	chrIV	5985	7814	+	1830	2	6
YDR406W	chrIV	1279210	1283799	+	4590	9260	5555
YDR273W	chrIV	1010176	1011273	+	1098	1065	648
YDR269C	chrIV	1005665	1005988	-	324	3	1
YDR453C	chrIV	1365072	1365662	-	591	1802	2014
YDR383C	chrIV	1239960	1240676	-	717	556	373
YDR375C	chrIV	1225166	1226536	-	1371	1031	907
YDL161W	chrIV	167714	169078	+	1365	4231	4246
YDL051W	chrIV	363952	364779	+	828	961	640
YDR084C	chrIV	613405	614004	-	600	467	381
YDL056W	chrIV	352877	355378	+	2502	2426	1728
YDR344C	chrIV	1162006	1162449	-	444	40	21
YDR320C	chrIV	1106095	1108101	-	2007	1769	1317
YDR221W	chrIV	907330	909438	+	2109	1992	1878
tI(AAU)D	chrIV	668007	668080	-	74	3	3
YDL032W	chrIV	393690	394001	+	312	7	5
YDR456W	chrIV	1367485	1369386	+	1902	1243	866
YDL036C	chrIV	387513	388901	-	1389	447	315
tL(CAA)D	chrIV;chrIV	1461715;1461792	1461758;1461829	-;-	82	4	3
YDL217C	chrIV	67983	68606	-	624	654	478
snR63	chrIV	323217	323471	-	255	22	13
YDR334W	chrIV	1135932	1140476	+	4545	4228	2618
YDL049C	chrIV	365068	365874	-	807	937	535
YDL164C	chrIV	164987	167254	-	2268	930	840
YDR384C	chrIV	1241204	1242031	-	828	616	444
YDR149C	chrIV	755555	756262	-	708	10	4
YDR093W	chrIV	631282	636120	+	4839	1550	1000
YDR071C	chrIV	588827	589402	-	576	3184	2176
YDL143W	chrIV	199996	201582	+	1587	1791	1214
YDR032C	chrIV	504099	504695	-	597	5858	3354
tR(UCU)D	chrIV	568882	568953	+	72	1	0
YDR063W	chrIV	578663	579112	+	450	693	456
YDL166C	chrIV	163449	164042	-	594	388	316
YDR004W	chrIV	455201	456583	+	1383	1168	950
YDR151C	chrIV	764178	765155	-	978	2189	2384
YDR037W	chrIV	525440	527215	+	1776	3901	2952
YDL175C	chrIV	144484	145518	-	1035	208	168
YDR286C	chrIV	1035231	1035575	-	345	90	62
YDR172W	chrIV	808324	810381	+	2058	3833	3001
YDL174C	chrIV	145826	147589	-	1764	8910	6914
YDR080W	chrIV	604008	606986	+	2979	2610	2230
YDR503C	chrIV	1455042	1455866	-	825	349	216
YDR069C	chrIV	584939	587719	-	2781	4067	2921
YDR047W	chrIV	551860	552948	+	1089	605	344
YDR215C	chrIV	894089	894502	-	414	141	120
YDR267C	chrIV	1002510	1003502	-	993	782	612
YDR142C	chrIV	740473	741600	-	1128	1802	1197
YDL212W	chrIV	78426	79058	+	633	1683	896
YDR249C	chrIV	958681	959802	-	1122	248	177
YDL209C	chrIV	86207	87226	-	1020	948	833
YDR044W	chrIV	546642	547628	+	987	270	170
tK(UUU)D	chrIV;chrIV	359577;359637	359613;359672	+;+	73	2	4
YDR311W	chrIV	1085065	1086993	+	1929	2279	1828
YDL159C-B	chrIV	173056	173232	-	177	0	0
YDR222W	chrIV	910054	911301	+	1248	1127	1252
YDR510C-A	chrIV	1469695	1469811	-	117	10	2
YDR401W	chrIV	1272223	1272786	+	564	0	0
YDR207C	chrIV	865012	867522	-	2511	2326	1819
YDL005C	chrIV	441014	442309	-	1296	3834	2750
YDR295C	chrIV	1052623	1054647	-	2025	1196	862
YDR543C	chrIV	1524634	1524933	-	300	0	0
YDL208W	chrIV	87512	87982	+	471	617	506
YDR135C	chrIV	723004	727551	-	4548	5865	3439
YDL114W	chrIV	255604	256530	+	927	73	91
YDR247W	chrIV	956013	957398	+	1386	12112	6473
YDL197C	chrIV	104917	106494	-	1578	3223	2195
YDR229W	chrIV	924785	926146	+	1362	2913	2255
YDR095C	chrIV	636117	636527	-	411	3	2
YDR027C	chrIV	494649	497318	-	2670	2173	1763
YDL106C	chrIV	270222	271901	-	1680	2036	1743
YDR404C	chrIV	1276654	1277169	-	516	633	475
YDR256C	chrIV	968133	969680	-	1548	4822	3764
YDR518W	chrIV	1478608	1480161	+	1554	215	131
YDR055W	chrIV	563527	564861	+	1335	6195	4466
YDL087C	chrIV	300214	300999	-	786	813	654
YDR177W	chrIV	816878	817525	+	648	1411	886
YDL014W	chrIV	427364	428347	+	984	1723	1446
YDR289C	chrIV	1038280	1039509	-	1230	1400	945
YDL159W	chrIV	172481	174028	+	1548	1000	874
YDR532C	chrIV	1499396	1500553	-	1158	998	986
YDR137W	chrIV	728259	730250	+	1992	1368	925
YDL153C	chrIV	181186	183018	-	1833	1933	1377
YDR393W	chrIV	1259901	1261271	+	1371	1218	835
YDR506C	chrIV	1459728	1461554	-	1827	1182	793
YDL219W	chrIV;chrIV	65242;65378	65306;65765	+;+	453	302	179
YDL090C	chrIV	295034	296329	-	1296	470	345
YDR033W	chrIV	508147	509109	+	963	2599	2262
YDR035W	chrIV	521816	522928	+	1113	4089	3122
YDR332W	chrIV	1131001	1133070	+	2070	1111	850
YDR510W	chrIV	1469400	1469705	+	306	2773	2357
YDL055C	chrIV	355674	356759	-	1086	630	463
YDR480W	chrIV	1417399	1418370	+	972	779	977
YDL103C	chrIV	275148	276581	-	1434	476	414
YDL085C-A	chrIV	302464	302670	-	207	965	596
YDR350C	chrIV	1176120	1178174	-	2055	1998	1397
